Index,Long_Name,Stock1,Stock1 weight,Stock2,Stock2 weight,Stock4,Stock4 weight,Stock5,Stock5 weight,Stock6,Stock6 weight,Stock7,Stock7 weight,Stock8,Stock8 weight,Stock9,Stock9 weight,Stock10,Stock10 weight,Stock11,Stock11 weight,Stock12,Stock12 weight,Stock13,Stock13 weight,Stock14,Stock14 weight,Stock15,Stock15 weight,Stock16,Stock16 weight,Default Stock
TJI_Railw,TJI Railways,IRCTC.NS,0.01,RVNL.NS,0.01,IRFC.NS,0.01,IRCON.NS,0.01,TITAGARH.NS,0.01,RITES.NS,0.01,JWL.NS,0.01,HBLENGINE.NS,0.01,JWL.NS,0.01,KERNEX.NS,0.01,ORIRAIL.NS,0.01,,,,,,,,,^NSEI
TJI_Cable,TJI Cables,POLYCAB.NS,0.01,KEI.NS,0.01,RRKABEL.NS,0.01,FINCABLES.NS,0.01,UNIVCABLES.NS,0.01,CORDSCABLE,0.01,HAVELLS.NS,0.01,VMARCIND.NS,0.01,DIACABS.NS,0.01,,,,,,,,,,,,,^NSEI
TJI_Alcoh,TJI Alcohol,UBL.NS,0.01,UNITDSPR.BO,0.01,RADICO.NS,0.01,SDBL.NS,0.01,ASALCBR.NS,0.01,SULA.NS,0.01,TI.NS,0.01,ABDL.BO,0.01,GMBREW.NS,0.01,PICCADIL.NS,0.01,GLOBUSSPR.NS,0.01,,,,,,,,,^NSEI
TJI_Refract,TJI Refract,RHIM.NS,0.01,IFGLEXPOR.NS,0.01,VESUVIUS.NS,0.01,RPEL.BO,0.01,HEG.NS,0.01,GRAPHITE.NS,0.01,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Jewl,TJI Jewellery,TITAN.NS,0.01,KALYANKJIL.NS,0.01,PNGJL.NS,0.01,SENCO.NS,0.01,SKYGOLD.NS,0.01,GOLDIAM.NS,0.01,THANGAMAYL.NS,0.01,IGIL.NS,0.01,MOTISONS.NS,0.01,BLUESTONE.NS,0.01,DPABHUSHAN.NS,0.01,GARGI.NS,0.01,RBZJEWEL.NS,0.01,TBZ.NS,0.01,,,^NSEI
TJI_ApiCram,TJI Api Crams,GLAND.NS,0.01,DIVISLAB.NS,0.01,LAURUSLABS.NS,0.01,SYNGENE.NS,0.01,AARTIDRUGS.NS,0.01,CONCORDBIO.NS,0.01,SUVENPHAR.NS,0.01,GRANULES.NS,0.01,JUBLPHARMA.NS,0.01,BIOCON.NS,0.01,DIVISLAB.NS,0.01,HIKAL.NS,0.01,ANTHEM.NS,0.01,MOREPENLAB.NS,0.01,NEULANDLAB.NS,0.01,^NSEI
TJI_autoOem,TJI Auto OEM,BAJAJ-AUTO.NS,0.01,TVSMOTOR.NS,0.01,OLAELEC.NS,0.01,MARUTI.NS,0.01,EICHERMOT.NS,0.01,ASHOKLEY.NS,0.01,TATAMOTORS.NS,0.01,M&M.NS,0.01,HEROMOTOCO.NS,0.01,FORCEMOT.NS,0.01,,,,,,,,,,,^NSEI
TJI_Defence,TJI Defence,DYNAMATECH.NS,0.01,SOLARINDS.NS,0.01,HAL.NS,0.01,BDL.NS,0.01,ZENTEC.NS,0.01,BEL.NS,0.01,BEML.NS,0.01,PARAS.NS,0.01,MTARTECH.NS,0.01,MODEFENCE.NS,0.01,UNIMECH.NS,0.01,IDEAFORGE.NS,0.01,ROSSTECH.NS,.01,AXISCADES.NS,.01,ASTRAMICRO.NS,.01,^NSEI
TJI_shipB,TJI Ship Building,COCHINSHIP.NS,0.01,MAZDOCK.NS,0.01,GRSE.NS,0.01,SWANDEF.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_ports,TJI Ports,ADANIPORTS.NS,0.01,JSWINFRA.NS,0.01,GPPL.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
